漢字,辞典,検字番号
一,大漢和辞典,1
一,日本語漢字辞典,1
一,新大字典,1
一,大字源,1
一,大漢語林,1
音,大漢和辞典,43265
音,日本語漢字辞典,14100
音,日本語漢字辞典,14101
音,新大字典,18903
音,新大字典,18904
音,大字源,11195
音,大字源,11196
音,大漢語林,12788
音,大漢語林,12789
雨,大漢和辞典,42210
雨,日本語漢字辞典,13862
雨,新大字典,18551
雨,新大字典,18553
雨,大字源,10997
雨,大漢語林,12596
円,大漢和辞典,1513
円,日本語漢字辞典,717
円,新大字典,949
円,大字源,1480
円,大漢語林,714
王,大漢和辞典,20823
王,日本語漢字辞典,7047
王,新大字典,9807
王,大字源,5825
王,大漢語林,-
火,大漢和辞典,18850
火,日本語漢字辞典,6559
火,新大字典,9134
火,大字源,5407
火,大漢語林,6438
花,大漢和辞典,30734
花,大漢和辞典,30734
花,日本語漢字辞典,9942
花,日本語漢字辞典,9943
花,日本語漢字辞典,9944
花,新大字典,13638
花,新大字典,13639
花,大字源,8156
花,大字源,8157
花,大漢語林,9295
花,大漢語林,9296
貝,大漢和辞典,36656
貝,日本語漢字辞典,12233
貝,新大字典,16246
貝,大字源,9620
貝,大漢語林,10980
学,大漢和辞典,6974
学,日本語漢字辞典,2499
学,新大字典,3406
学,大字源,2015
学,大漢語林,2455
休,大漢和辞典,440
休,日本語漢字辞典,235
休,新大字典,360
休,大字源,163
休,大漢語林,203
九,大漢和辞典,167
九,日本語漢字辞典,107
九,新大字典,169
九,大字源,66
九,大漢語林,90
玉,大漢和辞典,20821
玉,大漢和辞典,49299
玉,日本語漢字辞典,7045
玉,新大字典,9806
玉,大字源,5824
玉,大漢語林,6894
玉,大漢語林,6896
空,大漢和辞典,25415
空,日本語漢字辞典,8328
空,日本語漢字辞典,8329
空,新大字典,11464
空,大字源,6895
空,大字源,6896
空,大漢語林,8089
気,大漢和辞典,17046
気,日本語漢字辞典,5805
気,新大字典,8172
気,大字源,4788
気,大漢語林,5756
下,大漢和辞典,14
下,日本語漢字辞典,7
下,新大字典,13
下,大字源,4
下,大漢語林,8
月,大漢和辞典,14330
月,日本語漢字辞典,4754
月,日本語漢字辞典,4755
月,新大字典,6661
月,大字源,3989
月,大字源,3990
月,大漢語林,4636
月,大漢語林,4637
見,大漢和辞典,34796
見,日本語漢字辞典,11760
見,新大字典,15481
見,大字源,9179
見,大漢語林,10519
犬,大漢和辞典,20234
犬,日本語漢字辞典,6890
犬,新大字典,9585
犬,大字源,5678
犬,大漢語林,6742
五,大漢和辞典,257
五,日本語漢字辞典,141
五,新大字典,16
五,新大字典,221
五,大字源,88
五,大漢語林,121
口,大漢和辞典,3227
口,日本語漢字辞典,1261
口,新大字典,1722
口,大字源,1041
口,大漢語林,1232
校,大漢和辞典,14713
校,日本語漢字辞典,5021
校,日本語漢字辞典,5022
校,新大字典,6937
校,大字源,4186
校,大字源,4187
校,大漢語林,5086
金,大漢和辞典,40152
金,日本語漢字辞典,13176
金,新大字典,17658
金,大字源,10486
金,大漢語林,11887
左,大漢和辞典,8720
左,日本語漢字辞典,2963
左,新大字典,4117
左,新大字典,4118
左,大字源,2381
左,大漢語林,2898
三,大漢和辞典,12
三,日本語漢字辞典,9
三,新大字典,11
三,大字源,5
三,大漢語林,10
山,大漢和辞典,7869
山,日本語漢字辞典,2732
山,新大字典,3760
山,大字源,2216
山,大漢語林,2694
四,大漢和辞典,4682
四,日本語漢字辞典,1782
四,新大字典,2450
四,新大字典,2451
四,大字源,1446
四,大漢語林,1719
子,大漢和辞典,6930
子,日本語漢字辞典,2485
子,新大字典,3390
子,大字源,2005
子,大漢語林,2443
糸,大漢和辞典,27221
糸,日本語漢字辞典,8843
糸,新大字典,12079
糸,大字源,7266
糸,大漢語林,8553
字,大漢和辞典,6942
字,日本語漢字辞典,2492
字,新大字典,3396
字,大字源,2042
字,大漢語林,2447
耳,大漢和辞典,28999
耳,日本語漢字辞典,9433
耳,新大字典,12916
耳,大字源,7776
耳,大漢語林,9097
七,大漢和辞典,6
七,日本語漢字辞典,4
七,新大字典,4
七,大字源,2
七,大漢語林,4
車,大漢和辞典,38172
車,日本語漢字辞典,12558
車,新大字典,16806
車,大字源,9941
車,大漢語林,11320
手,大漢和辞典,11768
手,日本語漢字辞典,3898
手,新大字典,5376
手,大字源,3213
手,大漢語林,3787
十,大漢和辞典,2695
十,日本語漢字辞典,1107
十,新大字典,1473
十,大字源,902
十,大漢語林,1097
出,大漢和辞典,1811
出,日本語漢字辞典,822
出,新大字典,1107
出,大字源,654
出,大漢語林,815
女,大漢和辞典,6036
女,日本語漢字辞典,2244
女,新大字典,3055
女,大字源,1799
女,大漢語林,2184
小,大漢和辞典,7473
小,日本語漢字辞典,2660
小,新大字典,3636
小,大字源,2148
小,大漢語林,2611
正,大漢和辞典,16255
正,日本語漢字辞典,5676
正,新大字典,7826
正,大字源,4657
正,大漢語林,5629
上,大漢和辞典,13
上,日本語漢字辞典,15
上,新大字典,12
上,大字源,6
上,大漢語林,11
森,大漢和辞典,14974
森,日本語漢字辞典,5178
森,新大字典,7120
森,大字源,4294
森,大漢語林,5219
人,大漢和辞典,344
人,日本語漢字辞典,185
人,新大字典,281
人,大字源,125
人,大漢語林,154
水,大漢和辞典,17083
水,日本語漢字辞典,5813
水,新大字典,8185
水,大字源,4794
水,大漢語林,5768
生,大漢和辞典,21670
生,日本語漢字辞典,7321
生,新大字典,10103
生,大字源,6038
生,大漢語林,7144
青,大漢和辞典,42564
青,日本語漢字辞典,13930
青,新大字典,18652
青,大字源,11061
青,大漢語林,12664
赤,大漢和辞典,36993
赤,日本語漢字辞典,12343
赤,新大字典,16413
赤,大字源,9722
赤,大漢語林,11087
石,大漢和辞典,24024
石,日本語漢字辞典,7893
石,新大字典,10912
石,大字源,6546
石,大漢語林,7672
夕,大漢和辞典,5749
夕,日本語漢字辞典,2163
夕,新大字典,2916
夕,大字源,1740
夕,大漢語林,2107
千,大漢和辞典,2697
千,日本語漢字辞典,1110
千,新大字典,1475
千,大字源,904
千,大漢語林,1100
先,大漢和辞典,1349
先,日本語漢字辞典,654
先,新大字典,852
先,大字源,516
先,大漢語林,667
川,大漢和辞典,8673
川,日本語漢字辞典,2952
川,新大字典,4089
川,大字源,2369
川,大漢語林,2890
草,大漢和辞典,30945
草,大漢和辞典,30945
草,日本語漢字辞典,10196
草,日本語漢字辞典,10197
草,新大字典,13785
草,新大字典,13786
草,大字源,8267
草,大字源,8268
草,大漢語林,9429
草,大漢語林,9430
早,大漢和辞典,13742
早,日本語漢字辞典,4530
早,新大字典,6376
早,大字源,3803
早,大漢語林,4419
足,大漢和辞典,37365
足,日本語漢字辞典,12380
足,新大字典,16504
足,大字源,9765
足,大漢語林,11132
村,大漢和辞典,14464
村,日本語漢字辞典,4846
村,新大字典,6747
村,大字源,4050
村,大漢語林,4925
大,大漢和辞典,5831
大,日本語漢字辞典,2175
大,新大字典,2949
大,大字源,1751
大,大漢語林,2122
男,大漢和辞典,21730
男,日本語漢字辞典,7339
男,新大字典,10137
男,新大字典,10152
男,大字源,6053
男,大漢語林,7164
竹,大漢和辞典,25841
竹,日本語漢字辞典,8439
竹,新大字典,11580
竹,大字源,6973
竹,大漢語林,8187
虫,大漢和辞典,32804
虫,日本語漢字辞典,11144
虫,新大字典,14550
虫,大字源,8698
虫,大漢語林,9973
中,大漢和辞典,73
中,日本語漢字辞典,61
中,新大字典,84
中,大字源,32
中,大漢語林,48
町,大漢和辞典,21735
町,日本語漢字辞典,7341
町,新大字典,10141
町,大字源,6054
町,大漢語林,7165
天,大漢和辞典,5833
天,日本語漢字辞典,2178
天,新大字典,2951
天,大字源,1754
天,大漢語林,2125
田,大漢和辞典,21723
田,日本語漢字辞典,7335
田,新大字典,10132
田,大字源,6049
田,大漢語林,7161
土,大漢和辞典,4867
土,日本語漢字辞典,1830
土,新大字典,2511
土,大字源,1489
土,大漢語林,1774
二,大漢和辞典,247
二,日本語漢字辞典,133
二,新大字典,212
二,大字源,82
二,大漢語林,116
日,大漢和辞典,13733
日,日本語漢字辞典,4516
日,新大字典,6366
日,大字源,3796
日,大字源,3797
日,大漢語林,4408
入,大漢和辞典,1415
入,日本語漢字辞典,689
入,新大字典,890
入,大字源,537
入,大漢語林,694
年,大漢和辞典,9168
年,日本語漢字辞典,3085
年,新大字典,4297
年,大字源,2478
年,大漢語林,3009
白,大漢和辞典,22678
白,日本語漢字辞典,7620
白,新大字典,10488
白,大字源,6278
白,大漢語林,7410
八,大漢和辞典,1450
八,日本語漢字辞典,692
八,日本語漢字辞典,693
八,新大字典,899
八,大字源,547
八,大字源,548
八,大漢語林,697
百,大漢和辞典,22679
百,日本語漢字辞典,7621
百,新大字典,10489
百,大字源,26
百,大漢語林,7411
本,大漢和辞典,14421
本,日本語漢字辞典,4805
本,新大字典,6712
本,大字源,4023
本,大漢語林,4892
名,大漢和辞典,3297
名,日本語漢字辞典,1316
名,新大字典,1772
名,大字源,1079
名,大漢語林,1276
木,大漢和辞典,14415
木,日本語漢字辞典,4800
木,新大字典,6705
木,大字源,4020
木,大漢語林,4889
目,大漢和辞典,23105
目,日本語漢字辞典,7707
目,新大字典,10626
目,大字源,6366
目,大漢語林,7501
文,大漢和辞典,13450
文,日本語漢字辞典,4436
文,日本語漢字辞典,4437
文,新大字典,6223
文,大字源,3725
文,大字源,3726
文,大漢語林,4334
右,大漢和辞典,3250
右,日本語漢字辞典,1262
右,新大字典,1743
右,大字源,1062
右,大漢語林,1254
力,大漢和辞典,2288
力,日本語漢字辞典,962
力,新大字典,1296
力,大字源,786
力,大漢語林,944
立,大漢和辞典,25721
立,日本語漢字辞典,8400
立,新大字典,11544
立,大字源,6951
立,大漢語林,8153
林,大漢和辞典,14551
林,日本語漢字辞典,4915
林,新大字典,6814
林,大字源,4096
林,大漢語林,4987
六,大漢和辞典,1453
六,日本語漢字辞典,697
六,新大字典,901
六,大字源,552
六,大漢語林,701
引,大漢和辞典,9699
引,日本語漢字辞典,3240
引,新大字典,4523
引,大字源,2594
引,大漢語林,3136
羽,大漢和辞典,28614
羽,大漢和辞典,28614
羽,日本語漢字辞典,9330
羽,日本語漢字辞典,9331
羽,日本語漢字辞典,9332
羽,新大字典,12768
羽,新大字典,12769
羽,大字源,7690
羽,大字源,7691
羽,大字源,7692
羽,大漢語林,9008
羽,大漢語林,9009
雲,大漢和辞典,42235
雲,日本語漢字辞典,13869
雲,新大字典,18563
雲,大字源,11002
雲,大漢語林,12601
遠,大漢和辞典,39047
遠,大漢和辞典,39047
遠,日本語漢字辞典,12886
遠,日本語漢字辞典,12887
遠,新大字典,17252
遠,新大字典,17253
遠,大字源,10233
