漢字,漢字構成
一,一
音,音
音,立＋日
雨,雨
円,円
王,王
火,火
花,花
花,艹＋化
花,艹＋亻＋匕
貝,貝
学,学
学,⺍＋冖＋子
休,休
休,亻＋木
九,九
玉,玉
玉,王＋丶
空,空
空,穴＋工
空,宀＋八＋工
気,気
気,气＋㐅
気,𠂉＋一＋㐅
下,下
月,月
見,見
犬,犬
五,五
口,口
校,校
校,木＋交
校,木＋亠＋父
校,木＋亠＋八＋乂
校,木＋亠＋八＋丿
金,金
左,左
左,一＋丿＋工
三,三
三,一
山,山
四,四
四,囗＋儿
子,子
糸,糸
糸,幺＋小
字,字
字,宀＋子
耳,耳
七,七
車,車
手,手
十,十
出,出
女,女
小,小
正,正
正,一＋止
上,上
森,森
森,木＋林
人,人
水,水
生,生
青,青
青,龶＋月
赤,赤
石,石
石,丆＋口
石,一＋丿＋口
夕,夕
千,千
先,先
先,丿＋十＋兀
先,丿＋十＋一＋儿
川,川
草,草
草,艹＋早
草,艹＋日＋十
早,早
早,日＋十
足,足
足,口＋龰
足,口＋止
村,村
村,木＋寸
大,大
男,男
男,田＋力
竹,竹
虫,虫
中,中
中,口＋丨
町,町
町,田＋丁
町,田＋一＋亅
天,天
天,一＋大
田,田
土,土
二,二
二,一
日,日
入,入
年,年
白,白
八,八
百,百
百,一＋白
本,本
本,木＋一
名,名
名,夕＋口
木,木
目,目
文,文
文,亠＋乂
文,亠＋丿
右,右
右,丿＋一＋口
力,力
立,立
林,林
林,木
六,六
六,亠＋八
引,引
引,弓＋丨
羽,羽
雲,雲
雲,雨＋云
雲,雨＋二＋厶
雲,雨＋一＋厶
遠,遠
遠,辶＋袁
遠,辶＋土＋口
園,園
園,囗＋袁
園,囗＋土＋口
家,家
家,宀＋豕
何,何
何,亻＋可
何,亻＋丁＋口
何,亻＋一＋亅＋口
夏,夏
夏,一＋自＋夂
科,科
科,禾＋斗
歌,歌
歌,哥＋欠
歌,可＋丿＋乛＋人
歌,丁＋口＋丿＋乛＋人
歌,一＋亅＋口＋丿＋乛＋人
画,画
画,一＋由＋凵
画,一＋田＋凵
会,会
会,人＋云
会,人＋二＋厶
会,人＋一＋厶
回,回
回,囗＋口
海,海
海,氵＋毎
海,氵＋𠂉＋毋
絵,絵
絵,糸＋会
絵,幺＋小＋人＋云
絵,幺＋小＋人＋二＋厶
絵,幺＋小＋人＋一＋厶
外,外
外,夕＋卜
角,角
楽,楽
楽,白＋木
活,活
活,氵＋舌
活,氵＋千＋口
間,間
間,門＋日
顔,顔
顔,彦＋頁
顔,产＋彡＋頁
顔,亠＋丷＋厂＋彡＋頁
岩,岩
岩,山＋石
岩,山＋丆＋口
岩,山＋一＋丿＋口
丸,丸
丸,九＋丶
記,記
記,言＋己
記,言＋巳
汽,汽
汽,氵＋气
汽,氵＋𠂉＋一
帰,帰
帰,帚
帰,彐＋冖＋巾
弓,弓
牛,牛
魚,魚
魚,⺈＋田＋灬
教,教
教,孝＋攵
教,耂＋子＋攵
強,強
強,弓＋厶＋虫
近,近
近,辶＋斤
今,今
今,亼
今,亽
今,人＋一
今,人＋丶
兄,兄
兄,口＋儿
形,形
形,开＋彡
形,幵＋彡
形,一＋廾＋彡
形,干＋彡
形,一＋丿＋丨＋彡
京,京
京,亠＋口＋小
計,計
計,言＋十
原,原
原,厂＋白＋小
言,言
元,元
元,一＋兀
元,一＋儿
古,古
古,十＋口
戸,戸
語,語
語,言＋吾
語,言＋五＋口
午,午
後,後
後,彳＋幺＋夂
広,広
広,广＋厶
交,交
交,亠＋父
交,亠＋八＋乂
交,亠＋八＋丿
工,工
光,光
光,⺌＋兀
光,丨＋丷＋一＋儿
公,公
公,八＋厶
考,考
考,耂＋丂
黄,黄
行,行
行,彳＋亍
行,彳＋一＋丁
行,彳＋二＋亅
行,彳＋一＋亅
高,高
高,亠＋口＋冋
高,亠＋口＋冂
合,合
合,亼＋口
合,人＋一＋口
国,国
国,囗＋玉
国,囗＋王＋丶
谷,谷
谷,八＋人＋口
黒,黒
黒,里＋灬
黒,甲＋二＋灬
黒,甲＋一＋灬
細,細
細,糸＋田
細,幺＋小＋田
才,才
作,作
作,亻＋乍
算,算
算,竹＋目＋廾
算,竹＋目＋一＋丿＋丨
紙,紙
紙,糸＋氏
紙,幺＋小＋氏
矢,矢
姉,姉
姉,女＋巿
姉,女＋市
姉,女＋一＋巾
姉,女＋亠＋巾
市,市
市,亠＋巾
止,止
時,時
時,日＋寺
時,日＋土＋寸
寺,寺
寺,土＋寸
自,自
色,色
色,巴
室,室
室,宀＋至
室,宀＋一＋厶＋土
社,社
社,礻＋土
弱,弱
弱,弓＋冫
首,首
首,丷＋一＋自
週,週
週,辶＋周
週,辶＋土＋口
秋,秋
秋,禾＋火
春,春
春,三＋人＋日
春,一＋人＋日
書,書
書,聿＋日
書,肀＋二＋日
書,肀＋一＋日
少,少
少,小＋丿
場,場
場,土＋昜
場,土＋旦＋勿
場,土＋日＋一＋勹＋丿
食,食
新,新
新,亲＋斤
新,立＋木＋斤
親,親
親,亲＋見
親,立＋木＋見
心,心
図,図
図,囗＋丶＋㐅
頭,頭
頭,豆＋頁
数,数
数,娄＋攵
数,米＋女＋攵
西,西
西,一＋儿＋口
星,星
星,日＋生
声,声
声,士
晴,晴
晴,日＋青
晴,日＋靑
晴,日＋龶＋月
晴,日＋龶＋円
雪,雪
雪,雨＋彐
切,切
切,七＋刀
船,船
船,舟＋㕣
船,舟＋八＋口
線,線
線,糸＋泉
線,幺＋小＋白＋水
前,前
前,䒑＋刖
前,丷＋一＋月＋刂
組,組
組,糸＋且
組,幺＋小＋且
走,走
走,土＋龰
太,太
太,大＋丶
多,多
多,夕
体,体
体,亻＋本
体,亻＋木＋一
台,台
台,厶＋口
弟,弟
弟,弚＋丿
弟,八＋弔＋丿
弟,丷＋弔＋丿
弟,八＋弓＋丨＋丿
弟,丷＋弓＋丨＋丿
池,池
池,氵＋也
地,地
地,土＋也
知,知
知,矢＋口
茶,茶
茶,艹＋人＋朩
茶,艹＋人＋木
昼,昼
昼,尺＋旦
昼,尸＋乀＋日＋一
長,長
朝,朝
朝,龺＋月
朝,十＋日＋月
鳥,鳥
直,直
直,十＋目
通,通
通,辶＋甬
通,辶＋龴＋用
点,点
点,占＋灬
点,卜＋口＋灬
店,店
店,广＋占
店,广＋卜＋口
電,電
電,雨＋日＋乚
冬,冬
冬,夂＋⺀
冬,夂＋丶
刀,刀
当,当
当,丨＋丷＋彐
答,答
答,竹＋合
答,竹＋亼＋口
答,竹＋人＋一＋口
東,東
道,道
道,辶＋首
道,辶＋丷＋一＋自
同,同
同,冂＋一＋口
読,読
読,言＋売
読,言＋士＋冖＋儿
内,内
内,冂＋人
南,南
南,十＋冂＋丷＋干
肉,肉
馬,馬
買,買
買,罒＋貝
売,売
売,士＋冖＋儿
麦,麦
麦,龶＋夂
半,半
半,丷＋二＋丨
半,丷＋一＋丨
番,番
番,釆＋田
番,丿＋米＋田
父,父
父,八＋乂
父,八＋丿
歩,歩
歩,止＋少
歩,止＋小＋丿
風,風
風,几＋䖝
風,几＋丿＋虫
分,分
分,八＋刀
聞,聞
聞,門＋耳
米,米
母,母
方,方
北,北
毎,毎
毎,𠂉＋毋
妹,妹
妹,女＋未
妹,女＋一＋木
万,万
鳴,鳴
鳴,口＋鳥
明,明
明,日＋月
毛,毛
門,門
野,野
野,里＋予
野,甲＋二＋龴＋乛＋亅
野,甲＋一＋龴＋乛＋亅
夜,夜
夜,亠＋亻
友,友
友,又
曜,曜
曜,日＋翟
曜,日＋羽＋隹
用,用
来,来
里,里
里,甲＋二
里,甲＋一
理,理
理,王＋里
理,王＋甲＋二
理,王＋甲＋一
話,話
話,言＋舌
話,言＋千＋口
悪,悪
悪,亜＋心
悪,一＋口＋丨＋心
安,安
安,宀＋女
暗,暗
暗,日＋音
暗,日＋立
意,意
意,音＋心
意,立＋日＋心
委,委
委,禾＋女
医,医
医,匚＋矢
医,匸＋矢
育,育
育,亠＋厶＋月
院,院
院,阝＋完
院,阝＋宀＋元
院,阝＋宀＋一＋兀
院,阝＋宀＋一＋儿
員,員
員,口＋貝
飲,飲
飲,食＋欠
飲,食＋丿＋乛＋人
運,運
運,辶＋軍
運,辶＋冖＋車
泳,泳
泳,氵＋永
駅,駅
駅,馬＋尺
駅,馬＋尸＋乀
横,横
横,木＋黄
央,央
屋,屋
屋,尸＋至
屋,尸＋一＋厶＋土
温,温
温,氵＋昷
温,氵＋日＋皿
荷,荷
荷,艹＋何
荷,艹＋亻＋可
荷,艹＋亻＋丁＋口
荷,艹＋亻＋一＋亅＋口
開,開
開,門＋开
開,門＋幵
開,門＋一＋廾
開,門＋干
開,門＋一＋丿＋丨
界,界
界,田＋介
界,田＋人＋丿＋丨
階,階
階,阝＋皆
階,阝＋比＋白
館,館
館,食＋官
館,食＋宀＋㠯
感,感
感,咸＋心
感,戌＋口＋心
感,戊＋一＋口＋心
感,丿＋戈＋一＋口＋心
寒,寒
寒,宀＋井＋一＋八＋⺀
寒,宀＋二＋丿＋丨＋一＋八＋丶
漢,漢
漢,氵＋艹＋口＋夫
漢,氵＋艹＋口＋二＋人
漢,氵＋艹＋口＋一＋人
岸,岸
岸,山＋厈
岸,山＋厂＋干
起,起
起,走＋己
起,走＋巳
起,土＋龰＋己
起,土＋龰＋巳
期,期
期,其＋月
期,卄＋一＋八＋月
期,一＋丨＋八＋月
客,客
客,宀＋各
客,宀＋夂＋口
急,急
急,刍＋心
急,⺈＋彐＋心
級,級
級,糸＋及
級,幺＋小＋及
球,球
球,王＋求
